!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                8                4               60             0.00           103.76
                8                5               60             0.00           103.76
                8                6               60             0.00           103.76
                8                7               60             0.00           103.76
                8                8               60             0.00           103.76
                8                9               60             0.00           103.76
                8               10               60             0.00           103.76
                8               11               60            20.75           103.76
                8               12               60            20.75            83.01
                8                1               60            20.75            62.25
                8                2               60            20.75            41.50
                8                3               60            20.75            20.75
                9                4               60             0.17            14.09
                9                5               60             0.00            13.92
                9                6               60             0.00            13.92
                9                7               60             0.00            13.92
                9                8               60             1.00            13.92
                9                9               60             1.41            12.93
                9               10               60             1.91            11.51
                9               11               60             1.66             9.60
                9               12               60             1.25             7.94
                9                1               60             0.75             6.69
                9                2               60             2.20             5.94
                9                3               60             3.74             3.74
               10                4               60             1.25             8.71
               10                5               60             0.93             7.46
               10                6               60             0.31             6.53
               10                7               60             0.57             6.22
               10                8               60             0.05             5.65
               10                9               60             1.42             5.59
               10               10               60             1.37             4.18
               10               11               60             1.44             2.81
               10               12               60             1.19             1.37
               10                1               60             0.09             0.18
               10                2               60             0.09             0.09
               10                3               60             0.00             0.00
               11                4               60             0.00             4.98
               11                5               60             0.00             4.98
               11                6               60             0.00             4.98
               11                7               60             0.00             4.98
               11                8               60             0.78             4.98
               11                9               60             1.22             4.20
               11               10               60             1.34             2.98
               11               11               60             1.10             1.64
               11               12               60             0.53             0.53
               11                1               60             0.00             0.00
               11                2               60             0.00             0.00
               11                3               60             0.00             0.00
               12                4               60             0.00            41.81
               12                5               60             0.00            41.81
               12                6               60             0.00            41.81
               12                7               60             0.00            41.81
               12                8               60             0.00            41.81
               12                9               60             0.00            41.81
               12               10               60             0.00            41.81
               12               11               60             8.36            41.81
               12               12               60             8.36            33.45
               12                1               60             8.36            25.08
               12                2               60             8.36            16.72
               12                3               60             8.36             8.36
