C*******************************************************************************
C                       Groundwater Hydrograph at Selected Nodes
C
C   NOUTH     ;  Total number of hydrographs to be printed
C                  (set NOUTH = 0 if no hydrograph data is to be printed)
C   GWHSOMEFL ;  File name for groundwater hydrograph output at specified locations
C                  * Leave blank if this output is not required
C   FACTXY    ;  Conversion factor for hydrograph location coordinates
C   ID        ;  Sequential ID number for hydrograph locations
C   ILAYER    ;  Aquifer layer number 
C                  (set ILAYER = 0 to print average head for all layers)
C   X         ;  x-coordinate of hydrograph location
C                  * Leave blank if location is specified as a node
C   Y         ;  y-coordinate of hydrograph location 
C                  * Leave blank if location is specified as a node
C   INODE     ;  Node number for hydrograph print-out 
C                  * Leave blank if location is specified x-y coordinate
C             
C-------------------------------------------------------------------------------
C   VALUE                                        DESCRIPTION
C-------------------------------------------------------------------------------
     1387                                           / NOUTH     169
     GWhyd.out                                  / GWSOMEFL
     3.2808                                      / FACTXY   
C-------------------------------------------------------------------------------
C   ID       ILAYER     X            Y            INODE                                   
C-------------------------------------------------------------------------------
 338	       2    699109       4100895
 339	       1    694618       4101535
 340	       1    707863       4105058
 341	       1    711917       4100962
 342	       1    717898       4106844
 343	       1    716551       4107342
 344	       1    722275       4102794
 345	       1    732473       4108721
 346	       1    732721       4107150
 347	       1    729542       4104965
 348	       1    737793       4102383
 349	       1    733584       4100700
 350	       1    751239       4106848
 351	       1    744008       4103926
 352	       1    748810       4100457
 353	       1    755286       4108702
 354	       1    760781       4107693
 355	       1    757216       4104618
 356	       1    765427       4107682
 357	       1    770212       4108079
 358	       1    768242       4101728
 359	       1    774497       4106306
 360	       2    599235       4298791
 361	       1    590303       4289517
 362	       1    606565       4293426
 363	       1    583076       4292513
 364	       1    636090       4296319
 365	       1    634519       4295260
 366	       1    639172       4290489
 367	       1    879802       3885834
 368	       1    870774       3885483
 369	       2    875094       3886472
 370	       1    872282       3881476
 371	       2    863839       3887860
 372	       2    863082       3886684
 373	       1    841087       3886854
 374	       1    692609       4097537
 375	       1    689041       4096624
 376	       2    686861       4096975
 377	       1    691240       4093465
 378	       1    693602       4088745
 379	       1    702560       4097303
 380	       1    695014       4093218
 381	       1    706465       4095276
 382	       1    715506       4094946
 383	       1    720961       4091756
 384	       1    726578       4095690
 385	       1    727301       4089636
 386	       1    742769       4092785
 387	       1    736233       4091945
 388	       1    740179       4089835
 389	       1    749466       4097544
 390	       1    746136       4090106
 391	       1    752763       4099619
 392	       1    758010       4093168
 393	       1    763452       4096513
 394	       1    772616       4094770
 395	       1    776719       4091448
 396	       1    782225       4096440
 397	       3    600293       4299522
 398	       1    587104       4308604
 399	       1    590626       4302373
 400	       1    593537       4299776
 401	       1    606374       4302491
 402	       1    620822       4308472
 403	       1    634285       4308032
 404	       3    640835       4304983
 405	       1    636799       4303047
 406	       1    649630       4306132
 407	       1    645738       4306415
 408	       1    647411       4303215
 409	       1    645400       4300691
 410	       2    862946       3889403
 411	       2    855751       3888340
 412	       2    845900       3888370
 413	       2    701669       4084947
 414	       1    701835       4082831
 415	       1    700014       4080223
 416	       1    710530       4087260
 417	       2    709040       4085103
 418	       1    704366       4082947
 419	       2    704383       4082237
 420	       1    712546       4080771
 421	       1    714106       4080844
 422	       1    721957       4088762
 423	       1    722199       4084293
 424	       2    714944       4082997
 425	       1    717294       4079348
 426	       1    731764       4087813
 427	       1    726775       4086291
 428	       1    733155       4082299
 429	       1    739352       4080561
 430	       1    747722       4084965
 431	       1    760707       4089241
 432	       1    754166       4089965
 433	       2    762443       4085040
 434	       1    754487       4081922
 435	       1    766319       4090337
 436	       1    771548       4081038
 437	       1    772956       4085860
 438	       1    780078       4082603
 439	       1    784567       4087230
 440	       1    791502       4082276
 441	       1    793359       4087962
 442	       1    797982       4082900
 443	       1    807199       4085117
 444	       1    801643       4085163
 445	       1    601918       4316883
 446	       1    587072       4315385
 447	       1    592666       4308922
 448	       1    606845       4315117
 449	       1    579076       4318031
 450	       1    581362       4313015
 451	       1    631935       4317850
 452	       1    623309       4316623
 453	       1    636444       4319104
 454	       1    642092       4313764
 455	       1    639102       4309781
 456	       1    645709       4316417
 457	       2    710751       4079061
 458	       2    707621       4076364
 459	       1    706141       4074075
 460	       2    710915       4069506
 461	       2    720323       4076128
 462	       2    715772       4072836
 463	       2    720522       4071537
 464	       1    714086       4072761
 465	       1    732090       4076840
 466	       2    725397       4074662
 467	       1    732944       4074642
 468	       1    728501       4072801
 469	       1    740676       4078255
 470	       1    742163       4073022
 471	       2    739876       4071448
 472	       1    748297       4078996
 473	       1    751205       4072140
 474	       1    758959       4079869
 475	       1    756057       4071540
 476	       1    766784       4080355
 477	       1    770168       4074452
 478	       1    764269       4071024
 479	       1    778511       4075920
 480	       1    787268       4078310
 481	       1    791218       4079589
 482	       1    784546       4075008
 483	       1    789592       4072767
 484	       1    799171       4077264
 485	       1    796441       4074302
 486	       1    804317       4079057
 487	       1    810556       4078782
 488	       1    807236       4075917
 489	       1    815113       4072993
 490	       1    598243       4322653
 491	       1    588669       4327434
 492	       1    578775       4328183
 493	       1    583038       4320069
 494	       1    622192       4326130
 495	       1    574374       4327263
 496	       1    574204       4323244
 497	       1    628472       4325164
 498	       1    623872       4321094
 499	       1    631978       4319916
 500	       1    640769       4326185
 501	       1    636425       4325687
 502	       1    638431       4320371
 503	       2    712765       4063046
 504	       1    717332       4068035
 505	       2    714875       4068006
 506	       1    714923       4067175
 507	       2    720517       4064786
 508	       1    722226       4063454
 509	       2    730208       4068461
 510	       1    725303       4069752
 511	       1    730066       4068509
 512	       2    728606       4066875
 513	       2    727855       4064545
 514	       1    728306       4063391
 515	       2    724685       4061319
 516	       1    735749       4068157
 517	       1    743138       4063267
 518	       2    743138       4063267
 519	       1    737544       4062432
 520	       2    733571       4062478
 521	       1    711478       4059751
 522	       2    735230       4060703
 523	       1    748012       4070070
 524	       2    746414       4067836
 525	       1    750183       4064613
 526	       1    746691       4060692
 527	       1    761051       4066637
 528	       1    754828       4063584
 529	       1    765820       4068295
 530	       1    772307       4069576
