!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               21                8               60             8.63           103.50
               21                9               60            10.27            94.86
               21               10               60            14.55            84.60
               21               11               60            14.32            70.05
               21               12               60            12.59            55.73
               21                1               60            10.46            43.14
               21                2               60            18.03            32.68
               21                3               60            14.65            14.65
               22                4               60             2.59           604.48
               22                5               60             5.14           601.89
               22                6               60            16.60           596.75
               22                7               60            15.42           580.15
               22                8               60            11.19           564.74
               22                9               60            81.47           553.55
               22               10               60            83.70           472.08
               22               11               60            89.77           388.38
               22               12               60            94.57           298.61
               22                1               60            93.87           204.04
               22                2               60            93.80           110.17
               22                3               60            16.38            16.38
               23                4               60             6.81           270.43
               23                5               60             7.64           263.62
               23                6               60            19.88           255.98
               23                7               60            32.14           236.10
               23                8               60            29.20           203.96
               23                9               60            26.72           174.76
               23               10               60            25.44           148.04
               23               11               60            24.73           122.60
               23               12               60            21.77            97.87
               23                1               60            26.57            76.09
               23                2               60            24.14            49.52
               23                3               60            25.39            25.39
               24                4               60            19.07           519.89
               24                5               60            15.92           500.82
               24                6               60            31.61           484.90
               24                7               60            45.97           453.29
               24                8               60            50.85           407.33
               24                9               60            47.95           356.48
               24               10               60            50.18           308.53
               24               11               60            50.71           258.35
               24               12               60            49.18           207.64
               24                1               60            60.63           158.46
               24                2               60            53.07            97.83
               24                3               60            44.76            44.76
               25                4               60             6.02           201.30
               25                5               60             8.28           195.28
               25                6               60            16.17           187.00
               25                7               60            19.65           170.83
               25                8               60            21.38           151.18
               25                9               60            22.78           129.79
               25               10               60            22.98           107.01
               25               11               60            20.02            84.03
               25               12               60            18.40            64.01
               25                1               60            16.14            45.61
               25                2               60            16.15            29.47
               25                3               60            13.32            13.32
               26                4               60             1.41            50.29
               26                5               60             1.73            48.87
               26                6               60             2.23            47.14
               26                7               60             2.35            44.91
               26                8               60             2.36            42.56
               26                9               60             3.04            40.20
               26               10               60             4.65            37.16
               26               11               60             4.66            32.51
               26               12               60             7.47            27.84
               26                1               60            13.56            20.37
               26                2               60             4.05             6.82
               26                3               60             2.76             2.76
               27                4               60             0.47            17.68
               27                5               60             0.50            17.21
               27                6               60             0.42            16.72
               27                7               60             0.92            16.29
               27                8               60             2.12            15.38
               27                9               60             2.43            13.26
               27               10               60             2.45            10.83
               27               11               60             2.44             8.38
               27               12               60             2.43             5.94
               27                1               60             2.00             3.51
               27                2               60             0.78             1.51
               27                3               60             0.73             0.73
               28                4               60             0.10             2.98
               28                5               60             0.06             2.88
               28                6               60             0.15             2.82
               28                7               60             0.24             2.68
               28                8               60             0.35             2.44
               28                9               60             0.54             2.09
               28               10               60             0.59             1.55
               28               11               60             0.54             0.96
               28               12               60             0.23             0.42
               28                1               60             0.15             0.18
               28                2               60             0.02             0.04
               28                3               60             0.02             0.02
               29                4               60             1.06            21.30
               29                5               60             2.28            20.24
               29                6               60             2.34            17.96
               29                7               60             2.34            15.62
               29                8               60             2.02            13.27
               29                9               60             2.36            11.25
               29               10               60             1.68             8.90
